Designator,Mid X,Mid Y,Rotation,Layer
Cboot1,125.0,-57.0,270.0,top
Cff1,122.75,-42.0,0.0,top
Cin1,105.6386,-60.3137,270.0,top
Cinx1,113.2586,-57.8758,270.0,top
Cout1,102.5,-46.5,270.0,top
Css1,117.75,-63.5,0.0,top
L2,113.4882,-37.5,0.0,top
Rfbb1,123.58,-51.5,180.0,top
Rfbt1,113.42,-47.5,0.0,top
U1,119.24,-58.297,0.0,top
